,Unnamed: 0_x,filename,file_size,pixels,prompt_0,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,Unnamed: 0_y,caption,score,compress_rat,scores
19,19,3_1537818208673087492.png,75250,33750,no,no,no,yes,yes,no,plants,no,19,a man and a little girl in a field,0.9710073471069336,3.5880398671096345,mb
20,20,3_1527290108847656967.png,8874,28575,no,no,no,no,yes,no,plant,yes,20,a guitar,0.8832466006278992,25.760649087221097,mb
21,21,3_1549726031820488704.png,79345,50625,no,yes,yes,yes,no,no,plants,no,21,two women standing next to a car,0.7550657987594604,5.104291385720587,mb
22,22,3_1506731239092350976.png,37700,39600,yes,no,no,yes,no,no,plant,no,22,a woman with blonde hair,0.3349034786224365,8.403183023872678,mb
23,23,3_1362800619128561665.png,66024,32850,yes,yes,no,yes,no,no,plant,yes,23,a man signing a document,0.8868826627731323,3.980370774263904,mb
24,24,3_1509863263298895873.png,78112,40500,yes,yes,yes,yes,yes,yes,plant,yes,24,a group of men playing instruments,0.9553120136260986,4.147890208930766,y
25,25,3_1542840641595523072.png,62593,34875,no,yes,yes,yes,no,no,plants,no,25,a group of people posing for a photo,0.5222269296646118,4.457367437253367,mb
26,26,3_1472950232426106890.png,56618,38025,no,no,no,no,no,no,plant,yes,26,a book on a table,0.9549171328544616,5.372849623794553,y
27,27,3_1478805178648309760.png,80008,38925,no,no,no,yes,yes,no,plants,no,27,a woman with grey hair and glasses,0.998450517654419,3.8921107889211077,y
28,28,3_1501577202898456580.png,60098,38025,no,no,no,yes,yes,no,plant,yes,28,a person holding a small fish,0.4624856114387512,5.06173250357749,y
29,29,3_1513914668875759616.png,52008,38250,no,yes,no,no,no,no,plant,yes,29,a plant with leaves on it,0.8023121953010559,5.883710198431011,y
30,30,3_1509514446477135874.png,60001,40500,yes,yes,no,yes,yes,no,plants,no,30,two women dancing together,0.7926974892616272,5.399910001499975,y
31,31,3_1376649794710614019.png,93704,50400,no,no,yes,yes,no,no,plants,yes,31,a man and woman in a kitchen,0.8688411116600037,4.30291129514215,y
32,32,3_1524841941329924117.png,49734,36900,yes,yes,no,no,no,no,plant,no,32,a book cover with the title of the title,0.8705524802207947,5.935577271082157,y
33,33,3_1485252212112642049.png,98478,49950,yes,yes,yes,yes,yes,no,plant,yes,33,a woman in a black and white photo,0.2532230615615845,4.057759093401572,mb
34,34,3_1146798784350806016.png,68441,38025,yes,no,no,no,no,no,plant,yes,34,the american flag on a television screen,0.0456548519432544,4.444704197776187,y
35,35,3_1428698917596708867.png,80177,33750,no,no,no,no,yes,no,flowers,no,35,some flowers in the grass,0.6034678220748901,3.3675492971799894,y
36,36,3_1553022411196379137.png,52019,39825,no,no,yes,yes,yes,no,plant,no,36,a woman sitting in a chair,0.6765367388725281,6.1246852111728405,y
37,37,3_1379124245335265287.png,36376,28575,yes,yes,no,yes,no,no,plant,no,37,a young boy drawing on a table,0.602238655090332,6.284363316472399,n
38,38,3_1557733910359945218.png,74571,46800,no,no,no,no,no,no,plant,yes,38,an open book on a table,0.971034049987793,5.0207185098764935,y
39,39,3_1519771139698044929.png,89122,40500,no,no,no,no,no,no,plants,yes,39,a flower bed in front of a building,0.981859028339386,3.635465990440071,y
40,40,3_1507696379661012992.png,55160,40500,yes,yes,no,yes,no,yes,plant,no,40,a poster with a man on a motorcycle,0.9855586290359496,5.873821609862219,y
41,41,3_1506571820610240515.png,41562,38025,yes,yes,yes,yes,no,no,plants,no,41,a group of people standing in front of a fountain,0.9850360155105592,7.3191857947163275,y
42,42,3_1479603939725168640.png,33148,25425,no,no,no,no,no,no,plant,yes,42,a book and a picture of a picture of a book,0.9886916875839232,6.136116809460601,y
43,43,3_1554571930644127750.png,70480,33750,yes,no,no,yes,no,no,plants,yes,43,a group of people standing in a room,0.2519764006137848,3.8308740068104425,mb
44,44,3_1482041239901917184.png,52108,33300,no,no,yes,yes,no,no,plant,no,44,the cover of a book with a drawing of a man's face,0.9927350282669068,5.112458739540953,y
45,45,3_1501270102351699974.png,36650,33300,yes,no,no,yes,no,no,plant,no,45,a man in uniform,0.6655680537223816,7.268758526603001,n
46,46,3_1550843677500653569.png,51918,33750,no,no,no,yes,no,yes,plants,yes,46,a man looking through a telescope,0.9843323230743408,5.2005084941638735,mb
47,47,3_1493944147627151367.png,26887,28575,no,yes,no,no,no,yes,plant,yes,47,a computer with the words online office hours,0.9998123049736024,8.502250158068955,y
48,48,3_1351169061258838017.png,27893,26550,no,no,yes,yes,yes,no,plant,no,48,two people standing in front of a window,0.8036909699440002,7.614813752554404,y
49,49,3_1245037731991912449.png,35033,50625,no,no,yes,no,no,no,plant,no,49,a black hole in the sky,0.949753999710083,11.560528644420975,mb
50,50,3_1454057941120737280.png,27965,28575,no,no,yes,yes,yes,no,plants,no,50,a man and a woman in a greenhouse,0.9978450536727904,8.174503844090827,y
51,51,3_1492861235125227524.png,87825,50625,yes,no,no,no,yes,no,plants,no,51,a sheep standing in the grass,0.090531513094902,4.611443210930829,mb
52,52,3_1511463910884483078.png,42237,26550,no,yes,yes,yes,no,no,plant,yes,52,an astronaut on the moon,0.544391930103302,5.028766247602813,mb
53,53,3_1498781397837697026.png,48032,39825,no,no,yes,yes,no,no,plant,no,53,a woman in a black and white photo,0.9375066757202148,6.633077948034644,y
54,54,3_1473345862424317971.png,80961,50625,no,no,no,no,yes,no,trees,yes,54,a bird in the snow,0.2330425828695297,5.0024085670878575,y
55,55,3_1158433753993228289.png,38475,33975,yes,no,no,no,no,no,plant,yes,55,an empty room with white walls,0.7090899348258972,7.064327485380117,y
56,56,3_1438611158391472135.png,71915,38025,yes,no,no,yes,no,yes,plant,yes,56,a man in a helmet climbing up a hill,0.8836840987205505,4.229993742612807,y
57,57,3_1422595113436516362.png,41708,28575,yes,yes,yes,yes,no,no,plant,no,57,the cover of a book with a quote on it,0.6640980839729309,5.48096288481826,mb
58,58,3_1507430230402600961.png,66006,37350,no,yes,yes,yes,no,no,plant,no,58,a street with people walking around it,0.0188958793878555,4.5268611944368695,mb
59,59,3_1298239309649240064.png,56953,38025,no,no,no,yes,no,yes,plant,yes,59,a man working on a computer,0.8133214712142944,5.341246290801187,y
60,60,3_1312405709028495360.png,76204,50625,yes,no,no,yes,yes,no,plant,no,60,a woman sitting in a chair,0.275432288646698,5.314681644008188,mb
61,61,3_1283087765001908224.png,74094,45450,no,no,no,no,no,no,plant,yes,61,a book cover with two cats swimming in the water,0.0021729737054556,4.907279941695684,n
62,62,3_1497602586760908810.png,59491,38475,yes,no,no,no,yes,no,plant,yes,62,some leaves on a piece of paper,0.9969154596328736,5.173891849187272,y
63,63,3_1433054555063869441.png,80483,49500,no,no,yes,yes,no,no,plant,no,63,a woman working in a kitchen,0.0022518772166222,4.9202937266254985,y
64,64,3_1458162701788753921.png,52110,38925,yes,yes,no,no,no,yes,plant,yes,64,a woman in a blue dress,0.0165877789258956,5.975820379965458,mb
65,65,3_1555592865841029127.png,54318,39150,no,yes,yes,yes,no,no,plants,no,65,a group of people walking in front of an airplane,0.9243462085723876,5.766044405169557,y
66,66,3_1497602586756669444.png,57416,38250,yes,yes,no,no,yes,no,plant,yes,66,a tree branch with leaves on it,0.4287877380847931,5.329524871116065,y
67,67,3_1540077487794917376.png,68494,40275,yes,no,no,no,no,yes,plant,yes,67,a boat in a room,0.8552084565162659,4.704061669635297,y
68,68,3_1516782497811636234.png,71452,38025,yes,no,no,yes,yes,no,plant,yes,68,a person standing in front of a screen,0.946294128894806,4.2574035716285055,y
69,69,3_1525442452664066054.png,85597,38025,no,no,no,no,no,no,plant,yes,69,a plant in front of a building,0.9780578017234802,3.5538628690257834,y
70,70,3_1532746083020832768.png,56576,38025,yes,no,no,no,no,no,plants,yes,70,a baseball field with the sun setting in the background,0.936841368675232,5.376838235294118,y
71,71,3_1556303654755377152.png,59099,40500,no,no,no,no,yes,no,plant,yes,71,a rocking chair,0.990453839302063,5.482326266095873,y
72,72,3_1392932794616074241.png,25624,28575,no,no,no,no,no,no,plant,no,72,a stamp with the word eid,0.99961519241333,8.92132375897596,y
73,73,3_1295360061271924736.png,59768,34200,yes,yes,no,yes,yes,no,plant,no,73,a woman in a white dress,0.9271837472915648,4.577700441707937,y
74,74,3_1517531819331227650.png,70802,28575,yes,yes,no,no,yes,yes,plant,yes,74,a bunch of plastic toys,0.8421359658241272,3.2287223524759185,n
75,75,3_1492898998490779651.png,74334,33750,no,no,no,no,no,no,plant,no,75,a plant with white flowers,0.9785772562026978,3.632254419242877,y
76,76,3_1494054251621933064.png,55523,28350,yes,yes,no,yes,no,no,plant,no,76,a group of people walking down a street,0.1620495468378067,4.084793689101813,n
77,77,3_1519723257007677440.png,74406,36225,yes,yes,no,yes,yes,no,plants,no,77,a group of people sitting in the grass,0.8332846164703369,3.894847189742763,mb
78,78,3_1515842689182351363.png,51101,28350,no,yes,no,no,no,no,plant,yes,78,a box of chocolates,0.4408183395862579,4.438269309798243,y
79,79,3_1513950138913415174.png,25924,33300,no,no,yes,yes,no,yes,plant,yes,79,a group of men standing in front of a helicopter,0.9838064908981324,10.276191945687394,y
80,80,3_1458419640053477377.png,81886,37575,yes,yes,no,yes,no,yes,plants,yes,80,a man holding a knife and a plate of food,0.0308017041534185,3.670957184378282,n
81,81,3_1357033630166622208.png,77132,41400,yes,no,no,no,yes,no,plants,yes,81,a penguin on a rocky beach,0.9153568148612976,4.293937665301042,y
82,82,3_1432815210260307982.png,35716,38025,yes,yes,yes,yes,yes,no,plant,yes,82,a man and woman sitting on a bench,0.0600161366164684,8.517191174823608,mb
83,83,3_1253290905383194625.png,70553,38025,no,no,no,yes,no,no,plant,yes,83,a girl petting a rhino,0.9989891648292542,4.311652233073009,y
84,84,3_1486338224503066631.png,61462,50625,yes,yes,yes,yes,yes,no,plant,no,84,a woman wearing a helmet,0.8559253811836243,6.589437375939605,mb
85,85,3_1513622517843640321.png,70805,34425,no,no,no,no,yes,no,plants,yes,85,a panda bear in a bucket,0.9967599511146544,3.8895558223289317,y
86,86,3_1534177168456040455.png,34716,42750,no,no,no,no,yes,no,plant,yes,86,a fish in the water,0.0412647724151611,9.851365364673349,y
87,87,3_1555559752486223872.png,46672,40275,no,yes,yes,yes,no,yes,plant,yes,87,a man in an astronaut suit,0.9944286346435548,6.903496743229345,y
88,88,3_1554459159176757248.png,79505,38025,no,no,no,yes,yes,no,plants,yes,88,a group of people on a boat,0.8508043885231018,3.8261744544368277,y
89,89,3_1554493464955478018.png,79230,48150,no,yes,no,yes,no,no,plant,no,89,two men in a car with a guitar,0.998524010181427,4.86179477470655,y
90,90,3_1195329373265702913.png,82001,35550,yes,no,no,yes,yes,no,plant,yes,90,two people sitting on a bench,0.013655511662364,3.4682503871904,n
91,91,3_1316725563411886081.png,31017,31725,yes,no,yes,yes,yes,no,plant,no,91,two women standing next to each other women,0.0630189701914787,8.182609536705678,n
92,92,3_1419695909105983488.png,80568,38025,yes,no,no,no,no,no,plants,yes,92,a garden with lots of plants,0.3621419668197632,3.7756925826630923,mb
93,93,3_1456704588745162756.png,49337,35100,yes,no,yes,no,no,yes,plant,yes,93,a room with a cross in it,0.6333910226821899,5.691468877313173,n
94,94,3_1461738103245205504.png,48751,28575,yes,no,no,no,no,no,plant,yes,94,the helix nebula,0.994474709033966,4.689134581854731,y
95,95,3_1525574174214856711.png,55420,33750,no,no,no,yes,no,yes,plant,yes,95,a woman in a plane,0.9951303005218506,4.871887405268856,y
96,96,3_1261293662870351874.png,47727,31725,no,yes,no,no,yes,no,plants,no,96,the night sky before and after,0.9998340606689452,5.317744672826702,y
97,97,3_1488512811676405772.png,6302,36675,yes,no,yes,yes,no,no,plant,no,97,a man in black and white,0.2009032517671585,46.55664868295779,mb
98,98,3_1551900348863881219.png,55460,35100,no,no,yes,yes,no,no,plants,no,98,a group of people sitting on the beach,0.6827365756034851,5.063108546700325,y
99,99,3_1541412613942296576.png,36513,50625,no,no,yes,yes,no,no,plant,no,99,a man in a suit and tie,0.0183140039443969,11.09193985703722,mb
100,100,3_1318216185524211712.png,53329,34650,no,yes,no,no,yes,no,plant,no,100,an elephant with its mouth open,0.2973932921886444,5.197922331189409,n
101,101,3_1351892818869026822.png,22972,28575,no,no,no,no,no,no,plant,no,101,a stamp on a white background,0.9498199820518494,9.951244993905624,y
102,102,3_1479552789051289604.png,65794,43425,no,no,yes,yes,no,no,plant,no,102,a man in a suit and tie,0.5292328000068665,5.280116727969116,y
103,103,3_1524192320865722368.png,69730,33975,yes,no,no,yes,no,yes,plant,yes,103,an airplane in a museum,0.5401313900947571,3.897891868636168,y
104,104,3_1534267898595880962.png,56283,35100,no,no,no,no,no,yes,plant,yes,104,an airplane parked in front of a building,0.949140191078186,4.989073077128085,y
105,105,3_1454810574362136578.png,54521,32400,yes,yes,no,no,yes,no,plant,no,105,a cat,0.3323078751564026,4.754131435593624,y
106,106,3_1441381265920323587.png,54601,38025,yes,no,no,no,no,no,plant,yes,106,a flower,0.8746453523635864,5.57132653248109,y
107,107,3_1441103482551869449.png,61427,28350,yes,yes,no,yes,yes,yes,trees,yes,107,two people in the woods,0.6833319664001465,3.692187474563303,y
108,108,3_1504475193363689486.png,52647,39600,no,no,yes,yes,no,no,plant,no,108,a woman sitting at a table,0.3536914587020874,6.01743689099094,y
109,109,3_1535260294401773568.png,10629,28575,no,no,no,no,no,no,plant,yes,109,the national space museum logo,0.9998350143432616,21.507197290431836,y
110,110,3_1438458904887939073.png,108352,50625,no,no,no,yes,no,no,plant,no,110,a smiling woman,0.817586362361908,3.737817483756645,y
111,111,3_1462780415270440963.png,91934,43875,yes,no,no,yes,yes,yes,plant,yes,111,a man and a woman,0.2524134814739227,3.8179563599973894,mb
112,112,3_1506638522459070465.png,45875,40050,yes,yes,yes,yes,no,yes,plant,yes,112,a woman sitting at a table,0.1690195053815841,6.984196185286104,mb
113,113,3_1522993416103239681.png,95066,34200,yes,no,no,no,no,no,plant,no,113,a black and white floral pattern,0.900901198387146,2.878000546988408,y
114,114,3_1531637085886631936.png,53695,50625,no,no,no,no,no,no,plant,no,114,a piece of paper with writing on it,0.982892632484436,7.542601732004842,mb
115,115,3_1449042885668745220.png,94970,38025,no,no,no,no,no,no,plants,no,115,some flowers in a garden,0.600877046585083,3.2031167737180164,y
116,116,3_1250049035760697344.png,50284,28575,yes,no,no,yes,no,no,plant,no,116,a man standing on a stage,0.9280734658241272,4.546177710603771,y
117,117,3_1423830096255885317.png,59078,25425,yes,no,no,no,no,yes,plants,yes,117,a cutting board with a knife,0.1238289326429367,3.4429059886929143,y
118,118,3_1433415702141091844.png,54345,25650,no,no,no,yes,yes,no,plant,no,118,two people standing in front of a map,0.9985243678092957,3.7758763455699698,y
119,119,3_1552445081759653889.png,29250,38025,yes,no,no,no,no,no,plant,yes,119,a woman in a white dress,0.4105055630207062,10.4,n
120,120,3_1534626347527684099.png,75827,50625,no,yes,no,no,no,no,plant,no,120,an old book with a title,0.986013650894165,5.341105411001358,mb
121,121,3_1533056052035461122.png,58845,50625,no,yes,no,yes,no,no,plant,no,121,an orange button with the words angela is free,0.9999659061431884,6.88248789191945,y
122,122,3_1189922483224363009.png,38904,32175,yes,no,no,no,no,no,plant,yes,122,a person on a screen,0.5205739140510559,6.6162862430598395,n
123,123,3_1359563483579301894.png,31831,26775,no,no,yes,yes,no,no,plant,no,123,a group of people dancing,0.1635548621416092,6.7292890578367,y
124,124,3_1390380707399221252.png,42868,28125,no,no,no,yes,no,no,plant,yes,124,a man sitting on a bench next to a book,0.6990305781364441,5.248670336847998,y
125,125,3_1521115025280221185.png,48864,28575,yes,no,no,yes,no,no,plants,no,125,a group of people holding newspapers,0.9978027939796448,4.678290766208251,y
126,126,3_1456660276040843264.png,56040,28575,yes,yes,no,no,no,yes,plant,yes,126,"a blue and orange background with the words,'the museum of the 21st century",0.9999186992645264,4.079229122055675,mb
127,127,3_1373984452678914056.png,79145,31500,no,no,no,yes,yes,no,plants,yes,127,two people standing in the woods,0.94722181558609,3.1840293132857416,y
128,128,3_1487055100728197126.png,77320,40500,no,no,no,yes,no,no,plant,yes,128,boxes stacked on a wall,0.8328328132629395,4.190377651319193,y
129,129,3_1391757654389891075.png,100263,50625,yes,yes,no,yes,yes,no,plant,no,129,some food items on a table,0.0293842796236276,4.039376439962898,n
130,130,3_1524820561024753664.png,16171,33300,yes,no,no,no,no,yes,plant,yes,130,an airplane flying in the sky,0.4674109518527984,16.473934821594213,y
131,131,3_1337449649448361984.png,22666,17325,yes,yes,no,yes,no,no,plant,yes,131,a bunch of pictures on a screen,0.9867950081825256,6.114885731933292,mb
132,132,3_1463525021184368644.png,43449,36675,no,yes,yes,no,no,no,plant,no,132,an old document with writing on it,0.9683321118354796,6.752744597113858,y
133,133,3_1521218026913386500.png,55766,33750,no,yes,no,no,no,no,book,no,133,books on a shelf,0.9250781536102296,4.841659792705233,y
134,134,3_1529109036221833216.png,38289,50625,no,yes,no,no,no,no,plant,yes,134,a map of the united states,0.7556807994842529,10.577450442685889,mb
135,135,3_1509590690933751811.png,62290,36450,yes,no,no,yes,yes,no,plant,no,135,a man in a blue and red shirt,0.0029437248595058,4.6813292663348856,n
136,136,3_1144757578519367680.png,58067,38025,no,yes,no,no,no,no,plant,yes,136,a sign on a book shelf,0.9932299852371216,5.238775896808859,n
137,137,3_1354504986982453248.png,48749,40500,yes,no,no,yes,no,no,plant,yes,137,a statue of a man,0.8718534111976624,6.646290180311391,y
138,138,3_1243918858953555969.png,48342,37125,yes,no,no,no,yes,no,plant,no,138,a cat sleeping on a piece of paper,0.8966224789619446,6.143725952587812,mb
139,139,3_1356231980346703872.png,87247,50625,no,yes,yes,yes,no,no,plant,no,139,a group of men sitting around a table,0.4819798469543457,4.641993420977226,y
140,140,3_1508836457695358977.png,63429,40500,yes,yes,yes,yes,no,no,plant,no,140,a woman in a dress,0.4962551593780517,5.108073594097337,y
141,141,3_1422187979041394690.png,98081,47250,yes,no,no,no,no,no,plant,yes,141,a book with a picture of a scorpion on it,0.9881929755210876,3.8539574433376496,n
142,142,3_1470486436860280835.png,16747,25425,no,yes,no,no,no,yes,plant,yes,142,a purple background with the words for second question please,0.9999748468399048,12.145458888159073,mb
143,143,3_1363905997840945154.png,43024,34650,no,no,yes,no,yes,no,plants,yes,143,a hippoy,0.6306930184364319,6.442915582000744,y
144,144,3_1382763243320397824.png,72487,33750,yes,no,no,no,yes,no,plants,yes,144,a building with a statue in front of it,0.3014397025108337,3.724805827251783,y
145,145,3_1308823014797127682.png,73168,38025,yes,no,no,no,yes,no,plant,yes,145,a statue in front of a building,0.9207977056503296,4.157555215394708,y
146,146,3_1554859766740123650.png,66408,40500,no,yes,yes,yes,yes,no,plant,no,146,a man in a leather jacket,0.6885762810707092,4.878930249367546,mb
147,147,3_1422897687867924482.png,49191,29475,yes,no,no,yes,no,no,plant,yes,147,a man standing in front of a sun,0.9997324347496032,4.793559797523938,y
148,148,3_1248659837627572230.png,74811,38925,yes,no,no,yes,yes,no,plant,no,148,a woman in a blue dress,0.712920069694519,4.162489473473152,y
149,149,3_1180121949533401088.png,54458,40500,yes,no,yes,yes,no,yes,plant,yes,149,an auditorium with people in it,0.846786379814148,5.949539094347938,y
150,150,3_1462586773419315200.png,30760,25650,no,no,no,no,no,no,plant,no,150,an envelope with a stamp on it,0.9958255290985109,6.671001300390117,y
151,151,3_1445377554362294274.png,62393,41400,no,no,yes,yes,no,no,plants,yes,151,a group of people in a room,0.5139434933662415,5.308287788694244,y
152,152,3_1522983619144425475.png,63740,33300,no,no,no,yes,no,yes,plant,yes,152,a person in a helicopter,0.9839009642601012,4.179479133981801,y
153,153,3_1252613125574139906.png,62788,35775,yes,no,no,no,yes,no,plants,yes,153,a painting on a wall,0.6149978637695312,4.558195833598777,mb
154,154,3_1520026829364551681.png,31035,20250,no,yes,yes,yes,no,no,plants,no,154,a group of people marching down a street,0.7985851764678955,5.219913001449976,y
155,155,3_1477420598456303617.png,3402,30600,no,no,yes,no,no,no,plant,yes,155,a drawing of two rabbits,0.0021367012523114,71.95767195767196,n
156,156,3_1311652651743010816.png,33667,25425,yes,yes,yes,yes,yes,no,plant,no,156,a man sitting in a chair,0.1786648780107498,6.041524341343155,mb
157,157,3_1425557645252046873.png,31510,50625,no,no,no,no,no,no,plant,no,157,a bird on a branch,0.5692095756530762,12.853062519834973,y
158,158,3_1438887992987463683.png,48867,37575,yes,yes,no,yes,no,no,plant,yes,158,a baseball player holding a bat,0.2889059484004974,6.151390508932408,y
159,159,3_1490069221186887686.png,48108,50625,no,no,no,yes,no,no,plant,no,159,a woman sitting in a chair,0.93286794424057,8.41855824395111,y
160,160,3_1498297026429210624.png,54853,38700,no,no,no,no,no,no,plant,yes,160,a bowl with a handle,0.9516362547874452,5.644176252894098,y
161,161,3_1474017730659598336.png,18787,28575,no,yes,no,no,no,no,plant,no,161,the cover of the report,0.9773352146148682,12.16798850268803,mb
162,162,3_1298604496797532162.png,36518,28575,no,yes,no,yes,no,no,plant,no,162,a poster with the number one on it,0.9956071972846984,6.259926611534038,y
163,163,3_1528171289642520577.png,56456,34650,no,no,yes,yes,no,no,plants,no,163,three women sitting next to each other women,0.9857936501502992,4.910018421425535,y
164,164,3_1316725782170030085.png,43290,25425,yes,yes,no,no,no,no,plant,no,164,leaves with a quote on it,0.9142444729804992,4.698544698544699,mb
165,165,3_1534553087330902017.png,32397,35550,yes,no,no,no,yes,no,plant,yes,165,a wooden chair with a blue seat,0.9992820620536804,8.77859061024169,y
166,166,3_1387105553441251331.png,51908,28575,no,no,no,no,yes,no,plant,yes,166,a sun on a blue background,0.9996335506439208,4.403945441935733,y
167,167,3_1460291589365018626.png,76060,50400,yes,no,no,no,yes,no,plants,yes,167,a bird and a book on a table,0.2190927565097808,5.30107809623981,y
168,168,3_1455173379984605191.png,38331,28575,no,yes,no,yes,no,no,plant,yes,168,a child eating a cake,0.0421074032783508,5.96384127729514,n
169,169,3_1478001990747795458.png,44051,40950,yes,no,yes,yes,yes,no,plant,yes,169,two children building a snowman,0.7892487645149231,7.436834578102654,y
170,170,3_1478500232392544263.png,87011,50625,no,no,no,no,no,no,plants,yes,170,a snowy day in the city,0.1041817516088485,4.654583903184655,y
171,171,3_1517541018937167872.png,81348,38025,no,no,no,yes,yes,no,plant,no,171,a woman with a backpack,0.7017607092857361,3.739489600236023,y
172,172,3_1514626492562657284.png,57787,28575,no,no,no,no,yes,no,plants,yes,172,a panda holding a pink heart,0.9999135732650756,3.955907037915102,y
173,173,3_1296883686164627456.png,74695,50625,yes,yes,no,no,no,no,plant,yes,173,a coin in a wooden box,0.9346575140953064,5.42204966865252,mb
174,174,3_1507696384568442881.png,56908,40500,yes,no,no,no,no,no,plant,yes,174,an advertisement for the american airlines,0.9982717037200928,5.693399873480002,y
175,175,3_1477363749505937410.png,75370,45000,yes,no,no,no,yes,no,plant,yes,175,a vase with flowers in it,0.0697497799992561,4.77643624784397,y
176,176,3_1257329808243073024.png,71401,47250,yes,no,no,no,yes,no,plant,yes,176,a ball on a table,0.9106760025024414,5.294043500791306,y
177,177,3_1498674588389158912.png,64217,35775,yes,no,no,yes,no,no,plant,yes,177,a woman making a vase,0.9888553023338318,4.4567637852905,y
178,178,3_1450486400210530305.png,84589,36225,yes,yes,yes,yes,no,no,plant,no,178,a book with an image of a woman,0.993676483631134,3.4259773729444727,y
179,179,3_1306633311951888384.png,44169,28350,no,yes,no,yes,yes,no,plant,no,179,a man in a black shirt,0.0393774285912513,5.134823065951233,y
180,180,3_1536448331689369602.png,55973,32625,yes,no,no,no,yes,no,plants,yes,180,an octopus in the ocean,0.786210834980011,4.662962499776678,y
181,181,3_1379166667087941634.png,94166,47700,no,no,yes,yes,no,no,plant,no,181,an old postage stamp,0.9846231341362,4.052418070216427,y
182,182,3_1494322168477274113.png,57550,40950,no,no,yes,yes,no,no,plant,no,182,a woman in black and white,0.4225800335407257,5.692441355343179,y
183,183,3_1332376172559208449.png,52721,36000,yes,no,no,no,yes,no,plants,no,183,a sail on a body of water,0.6903776526451111,5.462718840689668,y
184,184,3_1397013840865411075.png,52246,30825,no,no,yes,yes,no,no,plants,no,184,a group of men standing in front of a building,0.9698076248168944,4.719978562952187,y
185,185,3_1452950815631622147.png,85062,40500,no,no,no,no,no,no,plant,no,185,some white flowers in a garden,0.9822328090667723,3.808986386400508,y
186,186,3_1541869191426342912.png,52864,35775,yes,no,yes,yes,no,yes,plant,yes,186,two men in suits and ties,0.0875716060400009,5.41389225181598,y
187,187,3_1379166666970513416.png,65170,33750,no,no,no,no,no,no,plant,yes,187,a log cabin on a postage stamp,0.9998379945755004,4.143010587693724,y
188,188,3_1363851430587736066.png,37738,25425,no,yes,yes,yes,no,no,plants,no,188,a log cabin in the woods,0.0497031845152378,5.389792781811437,y
